unclassified	12908
Pseudomonas aeruginosa	287
Anaerobranca californiensis	182411
Hydrotalea sandarakina	1004304
Massilia	149698
unclassified	12908
unclassified	12908
Paracoccus denitrificans	266
Massilia	149698
unclassified	12908
Andreprevotia lacus	1121000
Tepidibacter formicigenes	227138
Schwartzia	55506
Schwartzia	164984
Meinhardsimonia xiamenensis	990712
Nonlabens dokdonensis	328515
Paramaledivibacter caminithermalis	191027
Lampropedia hyalina	198706
Desulfatibacillum alkenivorans	259354
Defluviimonas denitrificans	404881
Anaerosporobacter mobilis	264463
Williamsia	85043
Xylella fastidiosa	2371
Flavisolibacter ginsengisoli	462367
Tetrasphaera	12908
Anaeroplasma bactoclasticum	2088
