Pseudomonas aeruginosa	287
Massilia	149698
Massilia	149698
unclassified	12908
Tepidibacter formicigenes	227138
Schwartzia	55506
Schwartzia	164984
Hydrotalea sandarakina	1004304
Williamsia	85043
Flavisolibacter ginsengisoli	462367
Exiguobacterium	33986
Anaerosporobacter mobilis	264463
Anaerobranca californiensis	182411
Defluviimonas denitrificans	404881
Anaeroplasma bactoclasticum	2088
Nonlabens dokdonensis	328515
Desulfatibacillum alkenivorans	259354
Andreprevotia lacus	1121000
Meinhardsimonia xiamenensis	990712
Paramaledivibacter caminithermalis	191027
Lampropedia hyalina	198706
unclassified	12908
Tetrasphaera	12908
Xylella fastidiosa	2371
