Williamsia	85043
Xylella fastidiosa	2371	
Paramaledivibacter caminithermalis	191027
Flavisolibacter ginsengisoli	462367
Anaeroplasma bactoclasticum	2088
Massilia	149698
Defluviimonas denitrificans	404881
Tepidibacter formicigenes	227138
unclassified	12908
Exiguobacterium	33986
Andreprevotia lacus	1121000
Nonlabens dokdonensis	328515
Pseudomonas aeruginosa	287
Paracoccus denitrificans	266
unclassified	12908
Anaerobranca californiensis	182411
Hydrotalea sandarakina	1004304
Schwartzia	55506
Schwartzia	164984
Massilia	149698
Lampropedia hyalina	198706
Tetrasphaera	12908
unclassified	12908
Anaerosporobacter mobilis	264463
Meinhardsimonia xiamenensis	990712
Desulfatibacillum alkenivorans	259354
